cpu,mb,gpu,ram,psu,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
Intel Core i9-13900,MAINBOARD (1700) MSI B760M GAMING WIFI DDR5,GeForce GTX 1080 Ti,RAM DDR5(5600) 32GB (16GBX2) KINGBANK KJUS x2,POWER SUPPLY (80+ BRONZE) 750W AEROCOOL LUX RGB,53469.6888,45006,18590,0.6403974644509165,0.4626628955089741,0.5515301799799452,Standard
Intel Core i5-13500E,MAINBOARD (1700) ASUS B760M-AYW WIFI DDR5,GeForce RTX 5090,RAM DDR5(5200) 64GB (32GBX2) KINGSTON FURY BEAST (KF552C40BBK2-64) x2,POWER SUPPLY (80+GOLD) 850W ASUS PRIME 850G,187668.2,25718,38918,0.3650276968762492,1.0,0.6825138484381246,Standard
Intel Core i5-9300HF @ 2.40GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),GeForce GTX 1070 Ti,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16WP) x2,POWER SUPPLY (80+ WHITE) 600W MSI MAG A600DN,26715.0,7246,14656,0.10130774941465365,0.3586741032486585,0.22999092633165608,Basic
Intel Core i3-9100HL @ 1.60GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon RX 9060 XT 8GB,RAM DDR4(3200) 16GB APACER NOX WHITE (AH4U16G32C28YMWAA-1) x2,POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E WHITE (CP-9020293-NA),33012.0,3454,19803,0.047170350065673,0.4947265470117099,0.2709484485386915,Basic
Intel Core i3-13100E,MAINBOARD (1700) ASROCK B760M-H2/M.2 DDR5,Radeon RX 6500 XT,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5227BAA-2) x2,POWER SUPPLY (CYBENETICS GOLD) 1000W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-1000-BK),43683.44,13727,9630,0.1938353035234995,0.225820094631387,0.20982769907744325,Basic
Intel Core i3-12100TE,MAINBOARD (1700) ASUS PRIME B760M-A DDR5,GeForce RTX 4070,RAM DDR5(6400) 64GB (32GBX2) KINGSTON FURY BEAST RGB (KF564C32BBEAK2-64) x2,POWER SUPPLY (80+ BRONZE) 750W COOLER MASTER MWE V2 230V (MPE-7501-ACABW-BTH),91600.0,10511,26914,0.1479213066072754,0.6826940868599826,0.415307696733629,Basic
Intel Core i7-7920HQ @ 3.10GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 2080 SUPER,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES BLACK x2,POWER SUPPLY (80+ PLATINUM) 1000W ASUS ROG LOKI 1000P SFX,53096.16,7307,19460,0.1021786305750671,0.4856599085406148,0.293919269557841,Basic
AMD Ryzen 7 1700X,MAINBOARD (AM4) LONGWELL A520M-YH DDR4,GeForce RTX 5060 Ti 16GB,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5 ICE),51544.0888,15623,22700,0.2209040031979898,0.5713039570722424,0.39610398013511605,Basic
Intel Core i5-10400T @ 2.00GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 560,RAM DDR4(3200) 16GB LEXAR (LD4AU016G-B3200GSST) x2,POWER SUPPLY (80+ WHITE) 600W COOLER MASTER ELITE NEX MWE 230V (MPW-6001-ACBW),27028.84,9800,3681,0.13777054422934154,0.06856810552192646,0.103169324875634,Basic
AMD Ryzen 5 1600,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),GeForce RTX 4080,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1050W MONTECH CENTURY II,58791.0528,12258,34436,0.17286277197190336,0.881525732864582,0.5271942524182427,Standard
Intel Core i5-6500 @ 3.20GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 980 Ti,RAM DDR4(2133) 8GB BLACKBERRY 8 CHIP x1,POWER SUPPLY (CYBENETICS GOLD) 750W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-750-BK),21133.48,5602,13665,0.07783678830449431,0.33247865507123786,0.20515772168786608,Basic
AMD Athlon 4,MAINBOARD (AM4) MSI B550M PRO VDH WIFI DDR4,Tesla P100-PCIE-16GB,RAM DDR4(3200) 16GB APACER NOX RGB BLACK (AH4U16G32C28YNBAA-1) x2,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W,225434.2888,182,8067,0.0004568556907086972,0.18450477121937037,0.09248081345503953,Basic
Intel Core i7-10700K @ 3.80GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Tesla P100-PCIE-16GB,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2,POWER SUPPLY (CYBENETICS PLATINUM) 650W CORSAIR RM650E (CP-9020302-NA),229651.2616,18541,8067,0.2625635314944892,0.18450477121937037,0.22353415135692978,Basic
Intel Core i3-8145UE @ 2.20GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon RX 7600 XT,RAM DDR4(3200) 16GB HIKSEMI (HSC416U32Z1) x2,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5 ICE),39764.72,4010,17296,0.05510821769173662,0.4284581427929476,0.2417831802423421,Basic
Intel Core i5-12600HE,MAINBOARD (1700) MSI B760M GAMING WIFI DDR5,TITAN V,RAM DDR5(5200) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR52C50-32G2W2) x2,POWER SUPPLY (80+ PLATINUM) 1000W GIGABYTE AORUS P1000W (GP-AE1000PM PG5),76152.8,22827,20072,0.32375364056878536,0.5018371177077,0.4127953791382427,Basic
Intel Core i5-13600HRE,MAINBOARD (1700) ASUS PRIME B760M-K DDR5,Radeon RX 580,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 NEO RGB BLACK (F5-5600J4040D48GX x2,POWER SUPPLY (80+GOLD) 850W ASUS PRIME 850G,152858.64,14591,8791,0.20617040717263432,0.20364251539742542,0.20490646128502987,Basic
AMD Athlon 5150 APU,MAINBOARD (AM4) ASROCK B550M HDV DDR4,Tesla M60,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (80+ SILVER) 400W ITSONAS DARK FOREST 1U FLEX (DF-FX400) SFX,24793.404000000002,1417,7002,0.018088630003997488,0.15635325526684465,0.08722094263542107,Basic
Intel Core i7-13790F,MAINBOARD (1700) MSI PRO B760M-P DDR5,GeForce GTX 1060,RAM DDR5(5200) 32GB (16GBX2) KINGSTON FURY BEAST RGB WHITE (KF552C40BWAK2-32) x2,POWER SUPPLY (80+ GOLD) 750W ASUS TUF GAMING 750G,52234.7088,42202,10056,0.600365484552567,0.23708070101239728,0.41872309278248215,Basic
Intel Core i9-7940X @ 3.10GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 560,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB WHITE (ZC.A01ST.0D7) x2,POWER SUPPLY (80+ BRONZE) 750W MSI MAG A750BN PCIE5,32113.1456,25433,3681,0.36095882588087486,0.06856810552192646,0.21476346570140065,Basic
Intel Core i5-13500TE,MAINBOARD (1700) ASUS PRIME B760M-A WIFI DDR5,GeForce GTX 960,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES BLACK x2,POWER SUPPLY (FULL) 550W ANTEC ATOM V550,41193.2,20483,6135,0.29028896122437325,0.13343554228014065,0.21186225175225695,Basic
Intel Core i9-13900K,MAINBOARD (1700) ASUS TUF GAMING B760M-PLUS WIFI II (DDR5),Radeon Pro 555,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B5600C40K) x2,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT (PS-TPT-1000FNFAGE-3),91279.48879999999,58283,3140,0.829949745874022,0.054267664085009645,0.4421087049795158,Basic
Intel Core i7-9850HE @ 2.70GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),GeForce RTX 3080,RAM DDR4(3200) 16GB ADATA D35G XPG BLACK (AX4U320016G16A-SBKD35) x2,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W,44257.4,9972,25040,0.1402261435669008,0.6331579921228622,0.38669206784488147,Basic
AMD Ryzen 3 4300G,MAINBOARD (AM4) ASROCK B550M HDV DDR4,RTX A5500,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST (KF432C16BBK2/16WP) x2,POWER SUPPLY (80+ GOLD) 1000W COOLER MASTER ELITE GOLD 1000 (MPW-A001-AFAG-BEU),98008.94959999999,9984,21216,0.14039746445091655,0.5320768681768919,0.3362371663139042,Basic
Intel Core i5-10400F @ 2.90GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon Pro WX 4100,RAM DDR4(3200) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W WHITE,36000.008,12110,3683,0.17074981440237563,0.06862097221855092,0.11968539331046327,Basic
Intel Core i9-10920X @ 3.50GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 7800 XT,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (FULL) 550W ANTEC ATOM V550,45139.210399999996,25818,24324,0.3664553709097139,0.614231714731305,0.49034354282050946,Standard
Intel Core i7-8700K @ 3.70GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Quadro P400,RAM DDR4(3200) 32GB (16GBX2) CORSAIR VENGEANCE LPX BLACK (CMK32GX4M2E3200C16) x2,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT SNOW (PS-TPT-1000FNFAGE-W),38056.9384,13572,1661,0.19162240877162925,0.015172741931220427,0.10339757535142484,Basic
AMD Ryzen 5 3600X,MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),Radeon RX 9070 XT,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ WHITE) 650W SILVERSTONE STRIDER 650W (SST-ST650-EFA),44592.6072,18132,26876,0.2567243446976186,0.6816896196241178,0.4692069821608682,Standard
Intel Core i3-6320 @ 3.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P3200,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS x2,POWER SUPPLY (CYBENETICS PLATINUM) 650W CORSAIR RM650E (CP-9020302-NA),34326.191999999995,4432,8488,0.06113300211295757,0.1956332108588195,0.12838310648588852,Basic
Intel Core i7-14701TE,MAINBOARD (1700) ASROCK B760 PRO RS DDR5,GeForce GTX 1650,RAM DDR5(4800) 16GB BLACKBERRY x2,POWER SUPPLY (FULL) 600W AEROCOOL SUPERB,35919.04,26039,7873,0.3696105305236708,0.17937670164679761,0.2744936160852342,Basic
Intel Core i5-14600,MAINBOARD (1700) GIGABYTE B760M E DDR5 (REV. 1.0),GeForce GTX 1650 SUPER,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE BLACK (CMK32GX5M2B5600C40) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST WHITE SFX,42635.6,32428,10186,0.4608246245217292,0.24051703629298724,0.3506708304073582,Basic
Intel Core i7-13700TE,MAINBOARD (1700) MSI PRO B760M-A WIFI DDR5,Radeon R9 360,RAM DDR5(5200) 16GB KINGSTON FURY BEAST RGB WHITE (KF552C40BWA-16) x2,POWER SUPPLY (80+ BRONZE) 650W MSI MAG A650BN,40046.8,21802,3031,0.3091199817257724,0.05138642911897649,0.18025320542237444,Basic
Intel Core i9-12900,MAINBOARD (1700) ASUS PRIME H610M-F DDR4 R2.0,Radeon RX 480,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ PLATINUM) 1000W GIGABYTE AORUS P1000W (GP-AE1000PM PG5),45885.9464,33659,8538,0.4783992918736794,0.19695487827443103,0.33767708507405525,Basic
AMD Ryzen 5 5500GT,MAINBOARD (AM4) GIGABYTE B550M DS3H R2 DDR4 (REV. 1.0),GeForce GTX 1060 3GB,RAM DDR4(3200) 16GB ACER UD100 BLACK (ZC.A01ST.0GC) x2,POWER SUPPLY (80+ BRONZE) 650W THERMALTAKE SMART BX1,21304.3688,18974,9829,0.26874536005939126,0.2310803309455209,0.24991284550245607,Basic
AMD Athlon XP-M,MAINBOARD (AM4) GIGABYTE A520M-K V2 DDR4 (REV. 1.1),Radeon Pro 455,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35) x2,POWER SUPPLY (CYBENETICS GOLD) 1000W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-1000-BK),31037.644,352,3112,0.0028839015475986525,0.05352753033226719,0.028205715939932922,Basic
AMD Ryzen 5 3400GE,MAINBOARD (AM4) GIGABYTE A520M-K V2 DDR4 (REV. 1.1),RTX A5000,RAM DDR4(3200) 16GB KINGBANK KJXS SILVER x2,POWER SUPPLY (80+ SILVER) 650W GIGABYTE P-650SS ICE (GP-650SS ICE),104815.048,8811,23015,0.12365084803837587,0.579630461790595,0.35164065491448543,Basic
AMD Ryzen 7 5700X3D,MAINBOARD (AM4) ASROCK B550M HDV DDR4,GeForce GTX 1630,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2,POWER SUPPLY (80+ GOLD) 1000W ASUS ROG STRIX AURA GAMING 1000G,36569.2888,26305,4983,0.37340814345268686,0.10298432502445086,0.23819623423856887,Basic
AMD Ryzen 5 5500GT,MAINBOARD (AM4) ASROCK B550M STEEL LEGEND DDR4,GeForce GTX 1070 Ti,RAM DDR4(3200) 16GB HIKSEMI (HSC416U32Z1) x2,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5),27219.3688,18974,14656,0.26874536005939126,0.3586741032486585,0.3137097316540249,Basic
Intel Core i7-10700TE @ 2.00GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon R7 450,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY 620W ITSONAS KINGKONG,36669.6,13505,1881,0.19066586716920791,0.020988078559911184,0.10582697286455955,Basic
Intel Core i3-14100,MAINBOARD (1700) ASUS TUF GAMING B760M-PLUS WIFI II (DDR5),Radeon RX 6600 XT,RAM DDR5(5200) 16GB (8GBX2) KINGSTON FURY BEAST (KF552C40BBK2-16) x2,POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST SFX,42661.2888,15149,16451,0.21413682827936723,0.4061219634691126,0.31012939587423993,Basic
AMD Ryzen 7 PRO 3700,MAINBOARD (AM4) ASROCK B550M HDV DDR4,Intel Arc A580,RAM DDR4(3200) 16GB HIKSEMI ARMOR PURPLE (HSC416U32Z2) x2,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5 ICE),34769.2888,22746,12064,0.32259722460167894,0.2901588644233565,0.3063780445125177,Basic
AMD Ryzen 5 PRO 7645,MAINBOARD (AM5) GIGABYTE B650M D3HP DDR5,RTX A6000,RAM DDR5(4800) 16GB APACER (FL.16G2A.PTH) x2,POWER SUPPLY (80+ PLATINUM) 1000W ASUS ROG LOKI 1000P SFX,189810.9928,27565,22795,0.39139683627434185,0.5738151251619042,0.48260598071812305,Standard
Intel Core i7-6920HQ @ 2.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 4070 Ti,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ BRONZE) 750W SEGOTEP BN750W ID PCIE 5.1 ATX3.1,61046.16,7269,31568,0.10163611444235052,0.8057148899051043,0.45367550217372743,Standard
Intel Core i5-12500HL,MAINBOARD (1700) GIGABYTE H610M H V3 DDR4 (REV. 1.0),Radeon RX 5700 XT,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x2,POWER SUPPLY (80+ BRONZE) 750W MSI MAG A750BN PCIE5,22652.48,23366,16123,0.33144880360915996,0.39745182522270095,0.36445031441593045,Basic
AMD Ryzen 5 3600XT,MAINBOARD (AM4) ASROCK B550M PHANTOM GAMING4,GeForce RTX 2070,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (CYBENETICS PLATINUM) 750W CORSAIR RM750E (CP-9020295-NA),33038.8888,18541,16060,0.2625635314944892,0.39578652427903044,0.3291750278867598,Basic
Intel Core i5-12400T,MAINBOARD (1700) LONGWELL B760M-AV DDR4,Radeon Pro Duo,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GL PCIE5,163577.6888,15551,8298,0.21987607789389524,0.19061087467949567,0.20524347628669545,Basic
AMD Ryzen 7 3800XT,MAINBOARD (AM4) GIGABYTE B550M DS3H R2 DDR4 (REV. 1.0),Radeon R9 380,RAM DDR4(3200) 16GB HIKSEMI ARMOR BLACK (HSC416U32D2)Recommend x2,POWER SUPPLY (FULL) 550W TSUNAMI EXTREMEX EX550,22672.6,23438,5977,0.3324767289132545,0.1292590732468082,0.23086790108003136,Basic
AMD Ryzen 7 1700X,MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),Quadro P1000,RAM DDR4(3200) 16GB ADATA 16 CHIP (AD4U320016G22-SGN) x2,POWER SUPPLY (80+ BRONZE) 650W DTECH PW023A,26874.088799999998,15623,4498,0.2209040031979898,0.09016415109301895,0.15553407714550438,Basic
Intel Core i5-9500T @ 2.20GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Radeon RX 570X,RAM DDR4(2400) 8GB BLACKBERRY 8 CHIP x1,POWER SUPPLY (FULL) 450W DTECH PW006,13740.04,8062,1923,0.11295756952772543,0.022098279189024874,0.06752792435837515,Basic
Intel Core i9-13900KS,MAINBOARD (1700) LONGWELL B760M-AV DDR4,Tesla P40,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST (KF432C16BBK2/16WP) x2,POWER SUPPLY 600W TSUNAMI EX600 DEEP SPACE,44373.1976,60519,11595,0.8618725372622923,0.2777616240649203,0.5698170806636063,Standard
Intel Core i7-6800K @ 3.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 960,RAM DDR4(3200) 8GB BLACKBERRY MAXIMUS x1,POWER SUPPLY (80+ GOLD) 750W SEGOTEP GM750W WHITE,12375.284,10715,6135,0.15083376163554335,0.13343554228014065,0.142134651957842,Basic
AMD Ryzen 7 1700X,MAINBOARD (AM4) LONGWELL B450M-VDH DDR4,GeForce RTX 4060,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES BLACK x2,POWER SUPPLY (80+ BRONZE) 750W SEGOTEP BN750W ID PCIE 5.1 ATX3.1,25904.088799999998,15623,19529,0.2209040031979898,0.4874838095741587,0.3541939063860743,Basic
Intel Core i7-11850HE @ 2.60GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon PRO W6800,RAM DDR4(3200) 32GB (16GBX2) CORSAIR VENGEANCE LPX BLACK (CMK32GX4M2E3200C16) x2,POWER SUPPLY (80+ GOLD) 850W NZXT WHITE (PA-8G2BW-US),104752.8,20111,20158,0.28497801381988463,0.5041103856625518,0.39454419974121824,Basic
Intel Core i7-9700KF @ 3.60GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon RX 550,RAM DDR4(3200) 16GB ADATA D35G XPG WHITE (AX4U320016G16A-SWHD35) x2,POWER SUPPLY (80+ SILVER) 600W ITSONAS DARK FOREST 1U FLEX (DF-FX600) SFX,27937.9224,14247,2690,0.20125920849751583,0.04237265734450582,0.12181593292101082,Basic
Intel Core i9-9820X @ 3.30GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),GeForce RTX 5070,RAM DDR4(3200) 16GB (8GBX2) CORSAIR VENGEANCE LPX BLACK (CMK16GX4M2E3200C16) x2,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT (PS-TPT-1000FNFAGE-3),49753.2472,20520,28788,0.2908172006167552,0.732230181597103,0.5115236911069291,Standard
AMD Athlon 4,MAINBOARD (AM4) ASROCK B550M-ITX/AC DDR4,GeForce GTX 950,RAM DDR4(2400) 8GB BLACKBERRY 8 CHIP x1,POWER SUPPLY (80+ GOLD) 750W SEGOTEP GM750W WHITE,15774.2888,182,5354,0.0004568556907086972,0.11279109724828844,0.056623976469498565,Basic
Intel Core i5-13500E,MAINBOARD (1700) MSI PRO B760M-E DDR5,GeForce GTX 980 Ti,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES BLACK x2,POWER SUPPLY (80+ GOLD) 850W ASUS ROG STRIX AURA GAMIN G850G,47558.2,25718,13665,0.3650276968762492,0.33247865507123786,0.34875317597374356,Basic
Intel Core i9-13900T,MAINBOARD (1700) MSI PRO B760M-A WIFI DDR5,Radeon RX Vega 56,RAM DDR5(5200) 16GB (8GBX2) CORSAIR VENGEANCE BLACK (CMK16GX5M2B5200Z40) x2,POWER SUPPLY (80+ PLATINUM) 1500W NZXT BLACK (PA-5P1BB-US),67574.88,42285,13005,0.6015504540003427,0.3150326451851656,0.45829154959275414,Standard
Intel Core i9-9960X @ 3.10GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Quadro M5000,RAM DDR4(3200) 16GB ADATA D35G XPG WHITE (AX4U320016G16A-SWHD35) x2,POWER SUPPLY (80+ GOLD) 750W COOLER MASTER MWE V3 NM FR (MPE-7506-ACAG-BTH),38665.8672,29634,9396,0.4209354120267261,0.219634691126325,0.32028505157652554,Basic
AMD Ryzen 7 7700,MAINBOARD (AM5) ASROCK B850 PRO-A DDR5,GeForce GTX 1660,RAM DDR5(4800) 16GB BLACKBERRY x2,POWER SUPPLY (80+ BRONZE) 650W MSI MAG A650BNL WHITE,34348.177599999995,34405,11621,0.4890497401633259,0.27844889112103827,0.38374931564218207,Basic
Intel Core i3-10100TE @ 2.30GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Tesla P4,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x2,POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT SNOW,24634.56,6371,9158,0.08881560162183769,0.21334355422801407,0.15107957792492588,Basic
Intel Core i7-9800X @ 3.80GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),GeForce GTX 1630,RAM DDR4(3200) 16GB KINGBANK KJXS SILVER x2,POWER SUPPLY (80+ BRONZE) 650W ITSONAS DARK FOREST SFX,27550.1168,18145,4983,0.25690994232196906,0.10298432502445086,0.17994713367320997,Basic
Intel Core i5-12500HL,MAINBOARD (1700) ASROCK B760M STEEL LEGEND WIFI DDR5,Quadro M5000,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY 450W DTECH PW053 SFX,54172.479999999996,23366,9396,0.33144880360915996,0.219634691126325,0.2755417473677425,Basic
AMD Ryzen 9 7950X,MAINBOARD (AM5) ASUS PRIME X870-P-CSM DDR5,Radeon R9 360,RAM DDR5(4800) 16GB BLACKBERRY x2,POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GL PCIE5,47578.0,62232,3031,0.8863285934555422,0.05138642911897649,0.46885751128725933,Standard
Intel Core i7-14700K,MAINBOARD (1700) ASROCK H610M-H2/M.2 DDR5,Radeon RX 480,RAM DDR5(5600) 32GB (16GBX2) KINGBANK KJUS x2,POWER SUPPLY (80+ BRONZE) 650W MSI MAG A650BN,51330.7288,52121,8538,0.7419764719319285,0.19695487827443103,0.46946567510317977,Standard
AMD Ryzen 9 3950X,MAINBOARD (AM4) GIGABYTE B550M DS3H R2 DDR4 (REV. 1.0),GeForce GTX 1660,RAM DDR4(3200) 16GB HYNIX 8 CHIP x2,POWER SUPPLY (FULL) 600W AEROCOOL SUPERB,31484.1256,38479,11621,0.547213180286677,0.27844889112103827,0.4128310357038576,Basic
AMD Athlon 4,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),Radeon RX 7600,RAM DDR4(3600) 16GB (8GBX2) KINGSTON FURY BEAST (KF436C17BBK2/16) x2,POWER SUPPLY (80+ WHITE) 700W SILVERSTONE (ST70F-ES230),30624.288800000002,182,16544,0.0004568556907086972,0.4085802648621501,0.2045185602764294,Basic
AMD Ryzen 9 7900,MAINBOARD (AM5) MSI PRO B650M-P DDR5,Radeon RX 7700 XT,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 RGB BLACK (F5-5600J4040D48GX2-TZ x2,POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST WHITE SFX,185039.8488,48105,22639,0.684641082747987,0.5696915228251963,0.6271663027865917,Standard
AMD Ryzen 5 9600X,MAINBOARD (AM5) MSI PRO B650M-P DDR5,GeForce GTX 1060 5GB,RAM DDR5(6400) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR64C55-32G2W2) x2,POWER SUPPLY (80+ BRONZE) 750W ITSONAS FROZEN,48246.08,30043,9205,0.4267745988235966,0.21458592159868892,0.32068026021114276,Basic
AMD Athlon XP 2600+,MAINBOARD (AM4) MSI B550M PRO VDH WIFI DDR4,GeForce RTX 4070,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2,POWER SUPPLY (80+ GOLD) 1000w. ASUS TUF GAMING 1000G WHITE,43076.6936,242,26914,0.0013134601107875048,0.6826940868599826,0.342003773485385,Basic
AMD Ryzen 3 4100,MAINBOARD (AM4) ASUS PRIME A520M-K DDR4,T1000,RAM DDR4(3200) 16GB ADATA 16 CHIP (AD4U320016G22-SGN) x2,POWER SUPPLY (80+ GOLD) 650W GIGABYTE PG5 (PCIE 5.1),37397.28,11042,7650,0.15550225572497287,0.17348206497317017,0.16449216034907152,Basic
Intel Core i3-10100E @ 3.20GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce RTX 5060 Ti 8GB,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ WHITE) 650W MONTECH AP650,36660.0,7816,22493,0.1094454914054023,0.5658322539716106,0.33763887268850645,Basic
AMD Ryzen 5 4600G,MAINBOARD (AM4) GIGABYTE B550M DS3H R2 DDR4 (REV. 1.0),Radeon RX 6800,RAM DDR4(2666) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (80+ GOLD) 850W ANTEC GSK V2,38304.272,15983,22032,0.22604362971846267,0.5536464803996722,0.38984505505906747,Basic
